query,group,time,follower 1,leader,follower 2
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:16:50.000Z,0.01773308963,0.07306496799,0.02295180969
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:16:55.000Z,2.272361994,0.08349598199,2.349657059
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:17:05.000Z,6.781620026,17.4885807,7.00306797
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:17:10.000Z,7.630013943,26.19112015,8.074369431
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:17:20.000Z,9.326800346,41.64973831,10.21697044
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:17:25.000Z,9.56850338,49.37905121,9.448424339
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:17:35.000Z,10.0519104,37.90993881,7.911330223
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:17:40.000Z,9.368677139,32.17538834,7.957313061
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:17:50.000Z,8.002212524,28.46299934,8.049278259
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:17:55.000Z,8.303758621,26.60680008,7.837806225
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:18:05.000Z,8.906851768,24.61949921,7.414862156
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:18:10.000Z,8.537307739,23.62585068,7.716622829
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:18:20.000Z,7.798219204,18.25534058,8.320144653
